Week,hunting_blind
2/26/17,14
3/5/17,14
3/12/17,17
3/19/17,12
3/26/17,16
4/2/17,18
4/9/17,15
4/16/17,13
4/23/17,13
4/30/17,17
5/7/17,15
5/14/17,11
5/21/17,16
5/28/17,9
6/4/17,8
6/11/17,15
6/18/17,14
6/25/17,12
7/2/17,16
7/9/17,26
7/16/17,20
7/23/17,18
7/30/17,29
8/6/17,23
8/13/17,33
8/20/17,32
8/27/17,40
9/3/17,33
9/10/17,51
9/17/17,47
9/24/17,39
10/1/17,47
10/8/17,55
10/15/17,42
10/22/17,52
10/29/17,62
11/5/17,69
11/12/17,75
11/19/17,88
11/26/17,63
12/3/17,56
12/10/17,47
12/17/17,41
12/24/17,51
12/31/17,35
1/7/18,30
1/14/18,35
1/21/18,22
1/28/18,22
2/4/18,21
2/11/18,19
2/18/18,17
2/25/18,17
3/4/18,16
3/11/18,12
3/18/18,16
3/25/18,17
4/1/18,14
4/8/18,23
4/15/18,23
4/22/18,17
4/29/18,13
5/6/18,13
5/13/18,12
5/20/18,14
5/27/18,13
6/3/18,11
6/10/18,14
6/17/18,15
6/24/18,13
7/1/18,17
7/8/18,14
7/15/18,25
7/22/18,25
7/29/18,29
8/5/18,30
8/12/18,32
8/19/18,36
8/26/18,45
9/2/18,44
9/9/18,38
9/16/18,56
9/23/18,50
9/30/18,54
10/7/18,49
10/14/18,61
10/21/18,57
10/28/18,77
11/4/18,72
11/11/18,99
11/18/18,100
11/25/18,92
12/2/18,62
12/9/18,49
12/16/18,38
12/23/18,44
12/30/18,39
1/6/19,25
1/13/19,33
1/20/19,28
1/27/19,24
2/3/19,18
2/10/19,16
2/17/19,23
2/24/19,15
3/3/19,14
3/10/19,18
3/17/19,15
3/24/19,16
3/31/19,12
4/7/19,19
4/14/19,19
4/21/19,18
4/28/19,20
5/5/19,12
5/12/19,15
5/19/19,13
5/26/19,15
6/2/19,10
6/9/19,12
6/16/19,19
6/23/19,15
6/30/19,15
7/7/19,24
